Producto	Descripción
Scotti ARROZ VENERE NEGRO 1KG X 10	El arroz integral italiano con un inconfundible color negro violáceo natural y un característico aroma a pan recién horneado y nueces.
Am vinagre de coco biologico no filtrado 500 ml x 6	aderezo saludable y nutritivo en la cocina, rico en probióticos, minerales y ácido acético. Se utiliza para ayudar a controlar los niveles de azúcar en sangre, favorecer la pérdida de peso al reducir el apetito, mejorar la digestión y fortalecer el sistema inmunológico.
GR RIGATONI TRAFILADO AL BRONZO 500 GR X 24	La pasta Granoro "Trafilata al Bronzo" (trefilada al bronce) es una pasta de alta calidad producida mediante un método tradicional italiano que utiliza moldes de bronce para dar forma a la masa. El trefilado es el proceso en el que la masa de sémola de trigo duro pasa a través de moldes o troqueles (trafile) para darles forma (espagueti, penne, etc.). Al usar moldes de bronce en lugar de teflón, la superficie de la pasta resultante no es lisa, sino áspera, rugosa y de aspecto pálido.
FB Glaza balsamica 250 ml x 6	condimento espeso, brillante y de color oscuro, elaborado al hervir vinagre balsámico a fuego lento hasta que reduce su volumen, concentrando su sabor agridulce.
Gemignani aceite de trufas blanca  250 gr x 6	El aceite de trufa blanca natural es un condimento gourmet elaborado al infusionar aceite de oliva virgen extra de alta calidad con auténtica trufa blanca
Crema tartufata especial 500 GR X 6 ( crema de trufas )	salsa de trufa elaborada con champiñones, trufas de verano (6%), aceite de oliva virgen extra, aceitunas negras, boletus, sal y pimienta.
Viander Crema de pistacho 500 gr x 6	Un clásico condimento tradicional siciliano. Con más del 50 % de pistachos. Un condimento versátil y práctico que realza y hace únicos los platos tradicionales mediterráneos y se presta a multitud de usos creativos.
Viander Ndjua 300 gr x 12	La 'Nduja Viander es una versión comercializada de la famosa salchicha untable y picante originaria de la región de Calabria, en el sur de Italia.
Alcachofas a la Romana con Gambo 750 gr x 4 Bella Atmosfera	Las alcachofas con gambas a la romana son una variante sofisticada del clásico plato italiano carciofi alla romana, que combina alcachofas tiernas estofadas con ajo, menta/perejil y vino blanco, enriquecidas con gambas o langostinos.
Hongos porcini guarniture trifolato 950 gr x 8 Bella Armosfera	Los funghi porcini trifolati (hongos porcini trifolati) son una preparación clásica italiana de setas Boletus edulis (porcini) salteadas con ajo, aceite de oliva y perejil.
TOMATES PELADO LA TORRENTE 2500 gr x 6	Tomates Enteros Pelados La Torrente están elaborados con los mejores tomates italianos, recolectados en su punto justo de madurez y pelados cuidadosamente para mantener todo el auténtico sabor del tomate fresco. Ideales para salsas, salsas, sopas y muchas otras recetas.
GRANORO FARINA 00 1 KG X 10	La Harina 00 con W180 es el producto obtenido de la molienda del trigo candeal, muy utilizado en la panificación y en la producción de pasta fresca.
GRANORO FARINA 0 PER PIZZA 1 KG X 10	La Harina "0" para PIZZAS Granoro tiene un valor de W equivalente a 250 y una mayor absorción de agua en comparación con las harinas comunes.
GRANORO SEMOLA DE GRANO DURO 500 GR X10	La Semola Remolida se caracteriza por una granulometria sutil, que confiere una buena capacidad de absorción de agua y facilidad de mezcla.
MOLINO DALLA GIOVANNA FARINA 00 LA NAPOLETANA 25 KG	Harina de trigo blando La Napoletana, tipo 00 W 310 P/L 0.60 sacos de 25 kg La Napoletana: para una corteza dorada y perfectamente desarrollada, una masa suave y elástica. ¡Una harina auténtica, ideal para el verdadero pizzero napolitano
MOLINA DALLA GIOVANNA FARINA 00 R PER PIZZA 25 KG GREEN	R VERDE: Harina de trigo blando TIPO 00 W 340 P/L 0.60 Bolsas de 25 kg TIPO 0 Ideal para procesar hasta 12 horas de fermentación a temperatura ambiente o 48 horas en el refrigerador.
MOLINA DALLAGIOVANNA FARINA 00 S PIZZA KG ROJA	S ROSSA: Harina de trigo blando TIPO 00 W 390 P/L 0.60 Sacos de 25 kg TIPO 0 Ideal para procesar hasta 16 horas de fermentación a temperatura ambiente o 72 horas en el refrigerador.
MOLINA DALLAGIOVANNA FARINA PASTA GOLD TIPO 00 25 KG	Nuestra harina TRIPLOCERO, blanquísima y elástica, permite mantener una óptima hidratación durante el amasado. Es una harina doble cero "00" especial para pasta fresca pero màs blanca y con menos cenizas.
MOLINA DALLAGIOVANNA SEMOLA RIMACINATA 25 KG	SÉMOLA REMOLIDA: Harina de trigo duro, sacos de 25 kg. Más fina que la sémola extra, esta harina es ideal para hacer pan y también sirve para preparar otras masas caseras, como pasta. Se puede usar sola o mezclada con otros tipos de harina.
MOLINO DALLAGIOVANNA SEMOLA EXTRA 25 KG	SÉMOLA EXTRA: Harina de trigo duro. Sacos de 25 kg. Para la elaboración de pan y otras masas caseras, como pasta. Úsela sola o mézclela con otros tipos de harina.
MOLINO DALLAGIOVANNA GRANITO 5 KG	Granulada y bien calibrada para ñoquis, procesamiento a máquina y para dar textura a las salsas para pasta; también excelente como harina para espolvorear encimeras. Ideal para ñoquis, pasta fresca y para espolvorear encimeras.
